VERIFY CH4 Sites;;;;;;;;;;;;
"Suggested usage: 0=validation; 1=core; 2=inclusive; -1=do not use";;;;;;;;;;;;
ID;Station;Type;Contributor;Lat;Lon;Elev;Sheight;Source;Startdate;Enddate;Usage;Comment
PAL;Pallas, Finland;C;FMI;67.97;24.12;560;7;ICOS;201709;201904;-1;
PDM;Pic du Midi, France;F;LSCE;42.94;0.14;2877;0;LSCE;200106;201802;1;
PDM;Pic du Midi, France;C;LSCE;42.94;0.14;2877;0;LSCE;201405;201608;0;
PRS;Plateau Rosa, Italy;C;RSE;45.94;7.71;3480;10;WDCGG;200501;201812;-1;shifts in baseline
PUY;Puy de Dome, France;F;LSCE;45.77;2.97;1465;10;LSCE;200107;201801;1;
PUY;Puy de Dome, France;C;LSCE;45.77;2.97;1465;10;LSCE;201009;201804;1;
PUY;Puy de Dome, France;C;LSCE;45.77;2.97;1465;10;ICOS;201608;201904;1;
RGL;Ridge Hill, United Kingdom;C;UNIVBRIS;52;-2.54;204;90;WDCGG;201201;201912;2;
SGC;Sierra de Grazalema, Spain;C;IC3;36.696;-5.398;850;20;IC3;201512;201712;0;
SMR;Hyytiala, Finland;C;INAR;61.85;24.29;181;125;ICOS;201612;201904;2;
SNB;Sonnblick, Austria;C;UBAA;47.05;12.96;3106;5;WDCGG;201201;201812;2;
SSC;Sierra de Segura, Spain;C;IC3;30.303;-2.59;1349;20;IC3;201501;201712;0;
SSL;Schauinsland, Germany;C;UBAG;47.9;7.92;1205;5;WDCGG;199101;201812;1;
SVB;Svartberget, Sweden;C;SLU;64.26;19.78;235;150;ICOS;201706;201904;2;
TAC;Tacolneston Tall Tower, United Kingdom;C;UNIVBRIS;52.52;1.14;56;185;WDCGG;201301;201912;2;
TER;Teriberka, Russian Federation;F;MGO;69.2;35.1;40;2;WDCGG;199901;201812;1;
TOH;Torfhaus, Germany;C;DWD;51.81;10.54;801;147;ICOS;201712;201904;2;
TRN;Trainou, France;C;LSCE;47.96;2.11;131;180;LSCE;200608;201804;1;
TRN;Trainou, France;C;LSCE;47.96;2.11;131;180;ICOS;201608;201904;1;
UTO;Uto, Baltic Sea;C;FMI;59.78;21.37;8;57;ICOS;201803;201904;0;
VAC;Valderejo, Spain;C;IC3;42.879;-3.214;1102;20;IC3;201301;201712;2;
VKV;Voeikovo, Russian Federation;C;MGO;59.95;30.7;70;6;INGOS;200805;201412;2;
WAO;Weybourne, United Kingdom;C;NCAS;52.95;1.12;10;0;INGOS;201304;201507;-1;
WAO;Weybourne, United Kingdom;C;NCAS;52.95;1.12;10;0;UEA;201303;201812;2;
WES;Westerland, Germany;C;UBA;54.92;8.31;12;11;UBA;201001;201812;-9;suspiciously low values and baseline shifts
XIC;Sierra de Xures, Spain;C;IC3;41.991;-8.018;890;20;IC3;201501;201712;0;
ZEP;Zeppelin, Norway;C;NILU;78.91;11.89;474;15;EBAS;201204;201912;2;
ZEP;Zeppelin, Norway;F;NOAA;78.91;11.89;474;5;NOAA;199402;201903;1;
ZEP;Zeppelin, Norway;C;NILU;78.91;11.89;474;15;ICOS;201707;201904;-1;
ZSF;Zugspitze-Schneefernerhaus, Germany;C;UBAG;47.42;10.98;2667;3;WDCGG;200201;201912;1;
