Time_EPOCH;Latitude;Longitude;Altitude;WindU;WindV;Temperature_C; RH_percent; CH4_ppm;CO2_ppm;H2O_percent;C2H6_ppb;Heading_deg;GrdSpeed_mps;AGL_m;BLIndex_m
1570103344;44.9233;25.9601;169.2;-0.8;0;28.63;36.35;1.952;425.4934;1.48;-2.49;81.3;19.6;169.2;nan
1570103345;44.9233;25.9604;169.1;-1.1;-0.1;28.45;36.35;1.9517;425.5078;1.48;-2.61;81.3;21.6;169.1;nan
1570103346;44.9234;25.9607;169;-1;-0.1;28.34;36.43;1.9502;425.5751;1.48;-2.57;80.5;23.5;169;nan
1570103347;44.9234;25.961;168.9;-0.7;0;28.1;36.53;1.9502;425.676;1.49;-2.74;80.8;25.2;168.9;nan
1570103348;44.9234;25.9613;168.8;-0.3;0.1;28.08;36.66;1.9509;425.676;1.49;-2.51;80.9;26.9;168.8;nan
1570103349;44.9235;25.9616;168.7;0;0.1;27.9;36.8;1.9508;425.997;1.48;-2.3;81.2;28.8;168.7;nan
1570103350;44.9235;25.962;168.6;-0.2;0.2;27.81;36.97;1.9494;426.1816;1.48;-3.04;81.3;30.4;168.6;nan
1570103351;44.9236;25.9624;168.4;0.5;0.3;27.66;37.12;1.9494;426.4126;1.47;-2.61;81.7;32.1;168.4;nan
1570103352;44.9236;25.9628;168.3;1.2;0.3;27.46;37.11;1.9509;426.4126;1.47;-3.29;81.5;33.7;168.3;nan
1570103353;44.9236;25.9632;168.2;1.1;0.2;27.49;37.27;1.952;426.6854;1.47;-2.29;81.1;35.2;168.2;nan
1570103354;44.9237;25.9637;168;1.1;0.2;27.37;37.3;1.9501;426.5086;1.47;-2.96;81.3;36.7;168;nan
1570103355;44.9237;25.9642;167.9;1.5;0.3;27.29;37.44;1.9499;426.3119;1.47;-2.46;81;38.1;167.9;nan
1570103356;44.9238;25.9647;167.8;1.3;0.3;27.15;37.52;1.9494;426.3119;1.47;-2.35;80.9;39.4;167.8;nan
1570103357;44.9239;25.9651;168.6;1;0;27.19;37.59;1.9488;426.3881;1.46;-2.48;80.1;40.4;168.6;nan
1570103358;44.9239;25.9656;170;0.3;-0.3;27.17;37.59;1.9481;426.424;1.46;-2.17;79.7;41.2;170;nan
1570103359;44.924;25.9662;171.6;0;0.3;27.03;37.84;1.9479;426.4244;1.45;-2.13;80.8;42.1;171.6;nan
1570103360;44.9241;25.9667;173.2;-1.4;0.7;26.99;37.81;1.9473;426.4244;1.45;-3.26;81.9;42.7;173.2;nan
1570103361;44.9241;25.9672;174.9;-1.2;1.5;26.91;37.91;1.9481;426.1469;1.43;-1.95;83.1;43.2;174.9;nan
1570103362;44.9242;25.9678;177.4;-0.5;1.1;26.87;37.95;1.9482;426.1782;1.44;-2.27;83;43.7;177.4;nan
1570103363;44.9242;25.9683;180;0.4;0.6;26.69;37.92;1.9495;426.1782;1.44;-1.94;82.2;44.4;180;nan
1570103364;44.9243;25.9689;182.1;0.5;0.6;26.68;38.02;1.9503;427.0601;1.44;-2.42;81.9;45.2;182.1;nan
