ID;RELEASE;SUBDIR_ECWMF;SUBDIR_COSMO;Station;Contributor;ICOS2020;Flask/Continuous;Latitude;Longitude;Elevation (masl);Sheight (magl);Usage_D4.7;Usage_D4.8;Usage_D4.15;REMARKS;;;;;;;;;;
HTM;HTM_70_AGL;;ADDITIONAL;Hyltemossa;ICOS;Y;C;56.098;13.419;115;70;exclude;exclude;valid;;;;;;;;;;;
HTM_ICO_001;HTM_30_AGL;;ADDITIONAL;Hyltemossa, 115m+30m, ICOS, Sweden;ICOS;Y;C;56.098;13.419;115;30;exclude;exclude;valid;;;;;;;;;;;
HTM_ICO_003;HTM_150_AGL;;ADDITIONAL;Hyltemossa, 115m+150m, ICOS, Sweden;ICOS;Y;C;56.098;13.419;115;150;valid;valid;assim;started in Apr 2017;;;;;;;;;;
HUN;HUN_96_AGL;CORE_01;VRFY00;Hegyhatsal;NOAA;N;F;46.95;16.63;248;96;assim;assim;assim;;;;;;;;;;;
HUN;HUN_96_AGL;CORE_01;VRFY00;Hegyhatsal;HMS;N;C;46.95;16.63;248;96;valid;assim;valid;;;;;;;;;;;
ICE;;;;Storhofdi;NOAA;N;F;63.4;-20.28;118;9;outside;outside;outside;;;;;;;;;;;
IPR;IPR_16_AGL;MISSING_CORE_1;VRFY00;Ispra;JRC;N;C;45.81;8.64;210;16;assim;assim;exclude;;;;;;;;;;;
IPR;IPR_100_AGL;NEW_EXTRA;VRFY00;Ispra, 210m+100m, ICOS, Italy;ICOS;Y;C;45.81;8.64;210;100;exclude;assim;assim;started in Dec 2017;;;;;;;;;;
IPR_ICO_001;IPR_40_AGL;;VRFY00;Ispra, 210m+40m, ICOS, Italy;ICOS;Y;C;45.81;8.64;210;40;exclude;exclude;valid;;;;;;;;;;;
IPR_ICO_002;IPR_60_AGL;;VRFY00;Ispra, 210m+60m, ICOS, Italy;ICOS;Y;C;45.81;8.64;210;60;exclude;exclude;valid;;;;;;;;;;;
IPR_ICO_003;IPR_100_AGL;;VRFY00;Ispra, 210m+100m, ICOS, Italy;ICOS;Y;C;45.81;8.64;210;100;exclude;exclude;assim;started in Dec 2017;;;;;;;;;;
IVI;;;;Ivittut;LSCE;N;F;61.21;-48.12;10;5;outside;outside;outside;;;;;;;;;;;
IZO;;;;Izana, Tenerife;AEMET;N;C;28.31;-16.5;2373;13;outside;outside;outside;;;;;;;;;;;
JFJ;JFJ_3585_ASL;CORE_01;VRFY00;Jungfraujoch;EMPA;Y;C;46.55;7.99;3580;5;assim;assim;exclude;maybe there is a jump in baseline in 2007?;;;;;;;;;;
JFJ_ICO_001;JFJ_3585_ASL;CORE_01;VRFY00;Jungfraujoch;ICOS;Y;C;46.55;7.99;3580;5;assim;exclude;assim;maybe there is a jump in baseline in 2007?;;;;;;;;;;
KAS;KAS_1992_ASL;MISSING_CORE_1;VRFY00;Kasprowy Wierch;AGH;N;C;49.23;19.98;1987;2;assim;assim;option;;;;;;;;;;;
KOS;KOS_5_AGL;;VRFY01;Kosetice, Czech Republic;CHMI;N;C;49.58;15.08;534;2;exclude;exclude;exclude;;;;;;;;;;;
KRE;KRE_250_AGL;;VRFY01;Kresin u Pacova;ICOS;Y;C;49.583;15.083;534;250;valid;valid;assim;started in Apr 2017;;;;;;;;;;
KRE_ICO_001;KRE_10_AGL;;ADDITIONAL;Kresin u Pacova, 534m+10m, ICOS, Czech Republic;ICOS;Y;C;49.583;15.083;534;10;exclude;exclude;valid;;;;;;;;;;;
KRE_ICO_002;KRE_50_AGL;;ADDITIONAL;Kresin u Pacova, 534m+50m, ICOS, Czech Republic;ICOS;Y;C;49.583;15.083;534;50;exclude;exclude;valid;;;;;;;;;;;
KRE_ICO_003;KRE_125_AGL;;ADDITIONAL;Kresin u Pacova, 534m+125m, ICOS, Czech Republic;ICOS;Y;C;49.583;15.083;534;125;exclude;exclude;valid;;;;;;;;;;;
LAE;LAE_872_ASL;;ADDITIONAL;Laegern;EMPA;N;C;47.48;8.4;840;32;option;option;option;;;;;;;;;;;
LAE;LAE_699_ASL;;ADDITIONAL;Laegern;EMPA;N;C;47.48;8.4;840;32;exclude;exclude;valid;;;;;;;;;;;
LIN;LIN_98_AGL;;VRFY02;Lindenberg;DWD;Y;C;52.1663;14.1226;73;98;valid;valid;exclude;;;;;;;;;;;
LIN_ICO_001;LIN_5_AGL;;ADDITIONAL;Lindenberg, 73m+2.5m, ICOS, Germany;ICOS;Y;C;52.1663;14.1226;73;2.5;exclude;exclude;valid;;;;;;;;;;;
LIN_ICO_002;LIN_10_AGL;;ADDITIONAL;Lindenberg, 73m+10m, ICOS, Germany;ICOS;Y;C;52.1663;14.1226;73;10;exclude;exclude;valid;;;;;;;;;;;
LIN_ICO_003;LIN_40_AGL;;ADDITIONAL;Lindenberg, 73m+40m, ICOS, Germany;ICOS;Y;C;52.1663;14.1226;73;40;exclude;exclude;valid;;;;;;;;;;;
LIN_ICO_004;LIN_98_AGL;;VRFY02;Lindenberg, 73m+98m, ICOS, Germany;ICOS;Y;C;52.1663;14.1226;73;98;valid;valid;assim;;;;;;;;;;;
LMP;LMP_5_AGL;MISSING_CORE_1;;Lampedusa;ENEA;N;C;35.52;12.63;45;55;valid;valid;outside;;;;;;;;;;;
LMP;LMP_5_AGL;MISSING_CORE_1;;Lampedusa;NOAA;N;F;35.51;12.61;45;5;assim;assim;outside;;;;;;;;;;;
LMT;LMT_8_AGL;;VRFY02;Lamezia Terme;ISAC;N;C;38.88;16.23;6;8;valid;valid;option;;;;;;;;;;;
LMU;LMU_80_AGL;;ADDITIONAL;La Muela;IC3;N;C;41.594;-1.1;579;80;valid;valid;option;;;;;;;;;;;
LPO;LPO_10_AGL;CORE_01;VRFY00;Ile Grande;LSCE;N;F;48.8;-3.58;10;10;assim;option;option;;;;;;;;;;;
LUT;LUT_60_AGL;MISSING_CORE_1;VRFY00;Lutjewad;CIO;Y;C;53.4;6.35;1;60;assim;assim;exclude;started in Aug 2018;;;;;;;;;;
LUT_ICO_001;LUT_60_AGL;MISSING_CORE_1;VRFY00;Lutjewad, 1m+60m, ICOS, Netherlands;ICOS;Y;C;53.4;6.35;1;60;assim;exclude;assim;started in Aug 2018;;;;;;;;;;
MHD;MHD_10_AGL;;VRFY00;Mace Head;NOAA;N;F;53.33;-9.9;5;21;exclude;exclude;assim;;;;;;;;;;;
MHD;MHD_10_AGL;;VRFY00;Mace Head;LSCE;N;C;53.33;-9.9;5;10;exclude;exclude;valid;;;;;;;;;;;
MHD;MHD_21_AGL;CORE_01;;Mace Head;NOAA;N;F;53.33;-9.9;5;21;assim;assim;exclude;;;;;;;;;;;
MHD;MHD_21_AGL;CORE_01;;Mace Head;LSCE;N;C;53.33;-9.9;5;10;assim;assim;exclude;;;;;;;;;;;
NGL;NGL_5_AGL;NEW_EXTRA;VRFY00;Neuglobsow;UBA;N;C;53.17;13.03;65;2;option;assim;option;;;;;;;;;;;
NOR;;;;Norunda;ICOS;Y;C;60.086;17.479;46;100;outside;outside;outside;;;;;;;;;;;
NOR_ICO_001;;;;Norunda, 46m+32m, ICOS, Sweden;ICOS;Y;C;60.086;17.479;46;32;outside;outside;outside;;;;;;;;;;;
NOR_ICO_002;;;;Norunda, 46m+59m, ICOS, Sweden;ICOS;Y;C;60.086;17.479;46;59;outside;outside;outside;;;;;;;;;;;
OPE;OPE_120_AGL;NEW_EXTRA;ADDITIONAL;Observatoire pour l'environnement;LSCE;Y;C;48.56;5.5;390;120;valid;option;exclude;;;;;;;;;;;
OPE_ICO_001;OPE_10_AGL;;ADDITIONAL;Observatoire Perenne de d'Environnement, 390+10m, ICOS, France;ICOS;Y;C;48.56;5.5;390;10;exclude;exclude;valid;;;;;;;;;;;
OPE_ICO_002;OPE_50_AGL;;ADDITIONAL;Observatoire Perenne de d'Environnement, 390+50m, ICOS, France;ICOS;Y;C;48.56;5.5;390;50;exclude;exclude;valid;;;;;;;;;;;
OPE_ICO_003;OPE_120_AGL;NEW_EXTRA;ADDITIONAL;Observatoire Perenne de d'Environnement, 390+120m, ICOS, France;ICOS;Y;C;48.56;5.5;390;120;valid;exclude;assim;;;;;;;;;;;
ORL;ORL_5_AGL;;VRFY02;Orleans;LSCE;N;F;47.83;2.5;NaN;NaN;exclude;exclude;valid;;;;;;;;;;;
OXK;OXK_1185_ASL;CORE_01;VRFY00;Ochsenkopf;MPI;N;C;50.03;11.81;1022;163;assim;assim;valid;;;;;;;;;;;
OXK;OXK_1185_ASL;CORE_01;VRFY00;Ochsenkopf;NOAA;N;F;50.03;11.81;1022;163;assim;assim;assim;;;;;;;;;;;
PAL;PAL_565_ASL;CORE_01;;Pallas;NOAA;N;F;67.97;24.12;560;7;assim;assim;outside;;;;;;;;;;;
PAL;PAL_565_ASL;CORE_01;;Pallas;FMI;N;C;67.97;24.12;560;5;assim;assim;outside;;;;;;;;;;;
PAL_ICO_001;PAL_565_ASL;CORE_01;;Pallas, 565m+12m, ICOS, Finland;ICOS;Y;C;67.97;24.12;565;12;exclude;exclude;outside;;;;;;;;;;;
PDM;PDM_2887_ASL;CORE_01;VRFY01;Pic du Midi;LSCE;N;C;42.94;0.141;2877;10;option;valid;option;;;;;;;;;;;
PDM;PDM_2887_ASL;CORE_01;VRFY01;Pic du Midi;LSCE;N;F;42.94;0.141;2877;10;option;assim;valid;;;;;;;;;;;
PRS;PRS_3490_ASL;CORE_01;VRFY00;Plateau Rosa;RSE;N;C;45.93;7.7;3480;10;assim;option;option;issue with data quality in early period;;;;;;;;;;
PRS;PRS_3195_ASL;;VRFY00;Plateau Rosa;RSE;N;C;45.93;7.7;3480;10;exclude;exclude;exclude;;;;;;;;;;;
